Pos,Age,Tm,MP,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
3,28.0,29,20.0,0.522,1.0,0.286,5.0,0.625,0.565,0.0,0.0,4.0,4.5,1.5,0.5,0.5,3.0,13.0,0.0
1,34.0,2,36.0,0.559,1.8,0.376,8.7,0.622,0.607,6.8,0.934,6.7,5.3,0.8,1.5,3.5,2.4,29.7,1.0
0,19.0,8,25.1,0.645,0.0,0.0,3.6,0.647,0.645,1.3,0.611,8.7,1.1,0.6,0.9,1.2,2.7,8.5,0.0
1,21.0,10,19.6,0.442,0.7,0.347,2.7,0.475,0.487,1.3,0.75,5.6,1.0,1.1,0.6,1.1,2.2,8.7,0.0
6,21.0,17,36.3,0.46,2.7,0.363,6.3,0.518,0.528,4.2,0.776,5.9,4.5,1.7,0.7,3.4,2.5,24.7,1.0
4,22.0,28,5.8,0.214,0.1,0.143,0.3,0.286,0.25,0.1,0.5,1.0,0.3,0.2,0.1,0.3,0.2,0.9,0.0
4,22.0,2,5.6,0.25,0.1,0.167,0.3,0.333,0.292,0.1,0.5,1.0,0.1,0.2,0.1,0.3,0.2,1.1,0.0
6,23.0,25,4.0,0.6,0.6,0.625,0.1,0.5,0.85,0.2,0.667,0.8,0.3,0.2,0.1,0.1,0.7,2.1,0.0
0,28.0,22,35.1,0.532,1.0,0.338,9.9,0.566,0.557,10.1,0.86,10.4,4.1,1.1,1.6,3.5,3.2,33.0,1.0
0,25.0,24,19.6,0.681,0.1,0.429,2.4,0.689,0.688,1.0,0.659,5.0,1.2,0.5,1.2,0.8,2.2,6.0,0.0
0,24.0,28,11.2,0.521,0.0,0.0,1.5,0.526,0.521,0.9,0.682,3.8,0.9,0.2,0.9,0.7,2.1,3.9,0.0
0,24.0,10,11.7,0.516,0.0,0.0,1.5,0.522,0.516,1.0,0.682,3.9,1.0,0.2,1.0,0.6,2.2,4.1,0.0
1,29.0,28,31.8,0.408,1.8,0.342,1.3,0.555,0.525,0.7,0.733,5.0,1.5,0.9,0.4,0.9,2.1,8.8,0.0
1,29.0,6,32.2,0.416,1.9,0.355,1.3,0.559,0.54,0.8,0.75,4.7,1.5,1.0,0.5,0.9,2.0,9.1,0.0
1,29.0,2,29.3,0.349,1.0,0.231,1.5,0.529,0.419,0.5,0.6,6.7,1.3,0.3,0.0,1.0,2.8,6.5,0.0
3,24.0,27,13.7,0.37,1.0,0.378,0.7,0.36,0.475,0.4,0.708,1.5,1.5,0.4,0.1,0.4,1.3,4.8,0.0
4,27.0,29,9.9,0.35,0.8,0.305,0.5,0.447,0.454,0.5,0.773,1.1,0.5,0.2,0.2,0.5,1.0,3.8,0.0
6,29.0,17,10.7,0.361,0.6,0.304,0.6,0.432,0.446,0.6,0.001,0.6,0.7,0.3,0.1,0.5,0.9,3.6,0.0
3,24.0,0,13.3,0.48,0.0,0.0,1.3,0.5,0.48,0.1,0.667,1.6,1.7,0.3,0.1,0.6,0.9,2.8,0.0
6,30.0,19,18.0,0.351,1.4,0.324,0.9,0.408,0.46,0.8,0.857,2.0,1.5,0.6,0.1,0.8,1.9,6.8,0.0
3,25.0,25,34.1,0.515,1.6,0.331,7.9,0.581,0.559,4.9,0.786,4.3,6.3,1.1,0.3,2.7,2.5,25.4,1.0
3,24.0,21,29.2,0.5,0.4,0.309,5.0,0.527,0.519,1.9,0.786,4.0,5.5,1.5,0.4,2.3,2.0,13.2,0.0
1,25.0,13,15.2,0.617,0.2,0.3,2.4,0.675,0.64,0.8,0.623,3.8,0.5,0.3,0.5,0.7,2.2,6.1,0.0
3,23.0,5,35.1,0.468,2.6,0.421,5.0,0.496,0.547,4.3,0.868,2.6,7.9,1.3,0.1,2.9,2.1,21.9,1.0
1,20.0,10,13.5,0.532,0.3,0.485,0.9,0.549,0.597,0.4,0.528,4.4,0.9,0.7,0.5,0.6,1.7,3.2,0.0
0,24.0,17,9.1,0.529,0.6,0.361,1.8,0.621,0.593,1.7,0.792,2.4,0.6,0.1,0.0,0.4,1.5,6.9,0.0
1,36.0,29,14.5,0.378,0.5,0.232,1.3,0.496,0.43,0.7,0.857,2.9,0.9,0.3,0.3,0.6,1.2,4.8,0.0
6,32.0,12,34.4,0.461,2.9,0.384,5.1,0.522,0.545,4.4,0.875,6.1,5.2,1.4,0.4,3.3,2.7,23.5,1.0
0,37.0,30,10.0,0.535,0.1,0.235,1.3,0.598,0.556,0.6,0.676,2.0,0.8,0.3,0.3,0.5,1.9,3.5,0.0
6,20.0,20,30.9,0.484,0.9,0.309,6.1,0.528,0.515,1.3,0.769,7.7,5.8,0.8,0.5,3.0,2.1,16.2,0.0
3,24.0,20,35.5,0.507,0.9,0.338,9.4,0.532,0.528,9.6,0.908,4.7,5.7,1.6,1.1,2.9,2.7,31.0,1.0
1,30.0,30,10.0,0.607,0.1,0.158,1.1,0.738,0.625,0.6,0.771,1.4,0.5,0.1,0.2,0.2,1.2,3.1,0.0
0,30.0,17,30.5,0.679,0.0,0.0,5.1,0.684,0.679,3.1,0.671,11.6,0.9,0.8,1.3,1.7,2.9,13.4,0.0
3,24.0,30,18.1,0.449,0.6,0.382,1.7,0.48,0.509,0.8,0.75,3.3,2.5,1.0,0.5,0.9,1.7,6.2,0.0
1,27.0,7,30.2,0.583,1.0,0.382,5.5,0.645,0.628,3.0,0.623,6.8,2.9,0.8,0.8,1.6,1.9,17.1,0.0
6,34.0,28,29.6,0.434,1.8,0.35,2.5,0.523,0.524,2.3,0.821,2.1,2.9,0.6,0.4,1.7,1.0,12.6,0.0
6,34.0,10,30.2,0.439,1.8,0.347,2.7,0.536,0.528,2.3,0.815,2.1,2.9,0.6,0.4,1.8,1.0,13.1,0.0
6,34.0,12,23.3,0.318,1.3,0.417,0.5,0.2,0.432,2.3,0.9,2.0,3.5,0.8,0.8,0.5,1.5,7.0,0.0
3,27.0,28,16.6,0.362,1.4,0.343,0.5,0.435,0.498,1.0,0.747,1.5,2.4,0.6,0.2,0.5,0.9,6.1,0.0
3,27.0,18,15.3,0.368,1.2,0.347,0.4,0.463,0.511,0.8,0.746,1.4,2.2,0.6,0.2,0.5,0.9,5.3,0.0
3,27.0,26,28.2,0.342,2.8,0.327,1.3,0.381,0.459,2.5,0.75,2.5,4.7,0.8,0.7,0.8,1.3,13.7,0.0
1,28.0,24,35.6,0.484,2.3,0.407,4.8,0.532,0.562,4.3,0.807,4.3,2.3,0.8,0.8,1.8,2.4,20.6,1.0
6,23.0,16,9.7,0.449,1.3,0.427,0.3,0.563,0.628,0.1,0.001,1.1,0.6,0.2,0.0,0.3,1.0,4.7,0.0
6,35.0,28,11.8,0.316,1.0,0.4,0.0,0.0,0.474,0.2,0.001,0.8,0.3,0.3,0.2,0.8,1.5,3.2,0.0
6,35.0,5,9.3,0.375,1.0,0.429,0.0,0.0,0.563,0.3,0.001,0.3,0.0,0.3,0.3,0.7,1.0,3.3,0.0
1,32.0,9,31.5,0.517,0.6,0.33,2.6,0.594,0.565,1.1,0.7,7.4,6.8,1.0,0.8,2.6,3.0,8.1,0.0
